                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.5529,                 26.081,                 4.4931,                      0,                      0,                      0,                      0,                 6.9612,                 15.631,                 4.1664,                0.00018,                0.00018,                0.00018
                      2,                 6.0785,                 16.823,                 4.0721,                      0,                      0,                      0,                      0,                 6.9659,                 15.902,                 4.1836,             0.00037248,             0.00037248,             0.00037248
                      3,                 5.0658,                 10.274,                 3.7505,                      0,                      0,                      0,                      0,                 6.9781,                 16.303,                 4.2323,             0.00055703,             0.00055703,             0.00055703
                      4,                 4.0797,                  6.615,                 3.2174,                      0,                      0,                      0,                      0,                 7.0021,                 17.553,                 4.3391,             0.00073367,             0.00073367,             0.00073367
                      5,                  3.311,                 4.5444,                 2.6424,                      0,                      0,                      0,                      0,                 7.0299,                 17.588,                 4.5073,             0.00090238,             0.00090238,             0.00090238
                      6,                 2.7161,                 3.4989,                 2.2819,                      0,                      0,                      0,                      0,                 7.0495,                 12.764,                 4.6681,              0.0010632,              0.0010632,              0.0010632
                      7,                 2.3457,                 3.0393,                 2.0667,                      0,                      0,                      0,                      0,                 7.0646,                 13.096,                 4.7901,              0.0012161,              0.0012161,              0.0012161
                      8,                 2.0894,                 2.6348,                 1.8994,                      0,                      0,                      0,                      0,                 7.0672,                 15.202,                 4.8103,               0.001361,               0.001361,               0.001361
                      9,                 1.8764,                 2.4059,                 1.7795,                      0,                      0,                      0,                      0,                 7.0879,                 18.325,                 5.0931,               0.001498,               0.001498,               0.001498
                     10,                 1.9149,                 2.0861,                 1.6525,                      0,                      0,                      0,                      0,                 7.0784,                   12.7,                  4.933,              0.0016272,              0.0016272,              0.0016272
                     11,                 1.8096,                 1.8724,                 1.5708,                0.00039,                0.03333,                 0.0077,                0.00333,                 5.8306,                 7.2241,                 3.8235,               0.001604,               0.001604,               0.001604
                     12,                 1.6328,                  2.003,                 1.6049,                0.98974,                0.18333,                  0.267,                0.13521,                 3.3063,                 3.9731,                 2.2632,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.5199,                 1.6914,                 1.5041,                0.78607,                0.36667,                0.48278,                0.27891,                 2.3622,                 2.8513,                 1.8756,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.4394,                 1.5643,                 1.4453,                0.97916,                0.78315,                 0.8358,                 0.5363,                 1.6542,                 1.7158,                 1.6201,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.4737,                 1.4767,                 1.4201,                0.96577,                0.94066,                0.93564,                0.60902,                 1.4772,                 1.4401,                 1.5369,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.3066,                 1.4237,                 1.4403,                0.99847,                0.98333,                0.98503,                0.75502,                 1.0385,                 1.1379,                 1.3304,               0.001406,               0.001406,               0.001406
                     17,                 1.2358,                 1.2446,                 1.3612,                0.99836,                0.98333,                0.99345,                0.82865,                0.82236,                 1.0009,                 1.2451,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1539,                 1.2299,                 1.3514,                0.99721,                      1,                  0.995,                0.87001,                0.77124,                0.89305,                 1.2376,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.1091,                 1.2123,                 1.3466,                0.99862,                      1,                  0.995,                 0.8656,                0.78333,                0.85039,                 1.2086,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0389,                 1.1225,                 1.2984,                  0.998,                      1,                  0.995,                 0.8471,                 0.7182,                0.88445,                 1.1344,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0146,                 1.0857,                 1.2571,                0.99639,                      1,                  0.995,                0.84169,                0.79065,                0.98623,                 1.1732,               0.001208,               0.001208,               0.001208
                     22,                 0.9614,                 1.0228,                 1.2674,                0.99778,                      1,                  0.995,                0.86908,                0.69793,                0.89987,                 1.1708,              0.0011684,              0.0011684,              0.0011684
                     23,                0.89407,                  1.001,                 1.2507,                0.99662,                      1,                  0.995,                0.84768,                 0.7011,                 1.0146,                 1.1698,              0.0011288,              0.0011288,              0.0011288
                     24,                 0.9637,                0.99025,                 1.2274,                 0.9984,                      1,                  0.995,                0.88394,                0.68592,                0.78369,                 1.1321,              0.0010892,              0.0010892,              0.0010892
                     25,                0.85258,                0.90527,                 1.2251,                0.99856,                      1,                  0.995,                0.88024,                0.61106,                0.75078,                 1.0636,              0.0010496,              0.0010496,              0.0010496
                     26,                0.85524,                0.88146,                 1.1982,                 0.9985,                      1,                  0.995,                0.88673,                0.58186,                0.75334,                 1.0754,                0.00101,                0.00101,                0.00101
                     27,                0.80935,                0.83746,                 1.1825,                0.99865,                      1,                  0.995,                0.83755,                0.64497,                0.70067,                 1.0821,              0.0009704,              0.0009704,              0.0009704
                     28,                0.85446,                0.90212,                  1.154,                0.99798,                      1,                  0.995,                0.88029,                0.57014,                0.85148,                 1.0836,              0.0009308,              0.0009308,              0.0009308
                     29,                0.80146,                0.85824,                 1.1584,                0.99752,                      1,                  0.995,                0.86616,                0.63305,                0.93629,                 1.0802,              0.0008912,              0.0008912,              0.0008912
