                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                  2.835,                 3.2265,                 2.3088,                      0,                      0,                      0,                      0,                 7.0356,                 12.092,                 4.5357,              0.0004011,              0.0004011,              0.0004011
                     39,                 2.6197,                 3.3389,                 2.2807,                      0,                      0,                      0,                      0,                  7.038,                 12.173,                 4.5555,              0.0003813,              0.0003813,              0.0003813
                     40,                 2.3876,                 2.8214,                 2.1664,                      0,                      0,                      0,                      0,                  7.038,                 12.173,                 4.5555,             0.00035992,             0.00035992,             0.00035992
                     41,                 2.5616,                 3.8271,                 2.7632,                      0,                      0,                      0,                      0,                 7.0406,                 12.397,                 4.5697,             0.00033696,             0.00033696,             0.00033696
                     42,                 2.3493,                 3.8298,                 2.3951,                      0,                      0,                      0,                      0,                 7.0414,                 12.391,                 4.5728,             0.00031241,             0.00031241,             0.00031241
                     43,                 2.3405,                 3.8157,                 2.4905,                      0,                      0,                      0,                      0,                 7.0414,                 12.391,                 4.5728,             0.00028628,             0.00028628,             0.00028628
                     44,                 2.2246,                 3.7484,                 2.7435,                      0,                      0,                      0,                      0,                 7.0413,                 12.311,                 4.5752,             0.00025856,             0.00025856,             0.00025856
                     45,                  2.124,                 3.7913,                 2.4514,                      0,                      0,                      0,                      0,                 7.0413,                 12.311,                 4.5752,             0.00022926,             0.00022926,             0.00022926
                     46,                 2.0954,                 3.7292,                 2.2876,                      0,                      0,                      0,                      0,                 7.0413,                 12.275,                 4.5774,             0.00019838,             0.00019838,             0.00019838
                     47,                 2.3993,                 3.6188,                 2.6277,                      0,                      0,                      0,                      0,                 7.0413,                 12.275,                 4.5774,             0.00016591,             0.00016591,             0.00016591
                     48,                 2.4122,                 3.4949,                 2.6574,                      0,                      0,                      0,                      0,                 7.0417,                 12.312,                 4.5796,             0.00013186,             0.00013186,             0.00013186
                     49,                 2.3447,                 3.5152,                 2.3575,                      0,                      0,                      0,                      0,                 7.0417,                 12.312,                 4.5796,             9.6224e-05,             9.6224e-05,             9.6224e-05
                     50,                 2.4116,                 3.8219,                 2.4058,                      0,                      0,                      0,                      0,                 7.0405,                 12.363,                 4.5679,             5.9004e-05,             5.9004e-05,             5.9004e-05
