                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3168,                0.86659,                0.95504,                0.94825,                0.94424,                0.96412,                0.55544,                 1.2382,                0.85047,                0.94839,              0.0016634,              0.0016634,              0.0016634
                     36,                 1.3128,                0.84773,                0.95604,                0.94349,                0.93086,                0.94218,                0.54258,                 1.2562,                0.81264,                0.95803,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.3196,                0.84523,                0.95038,                0.94449,                 0.9243,                0.94476,                0.52718,                 1.2838,                0.85512,                0.96377,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.3079,                0.82261,                0.94899,                0.95997,                0.94832,                0.96178,                0.56671,                 1.2561,                0.78433,                0.95637,              0.0016337,              0.0016337,              0.0016337
                     39,                 1.2926,                 0.8431,                0.95315,                0.95077,                0.94243,                0.96067,                0.57885,                 1.1965,                0.80401,                0.93966,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.2914,                0.84394,                0.95434,                0.94418,                0.92996,                0.95299,                0.54505,                 1.2458,                0.83022,                0.95173,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.2828,                0.83463,                0.95383,                0.95499,                 0.9422,                0.94913,                0.55837,                 1.2312,                0.75045,                0.95545,               0.001604,               0.001604,               0.001604
                     42,                 1.2931,                0.81642,                0.94623,                0.95107,                0.93841,                 0.9537,                0.55288,                 1.2523,                0.81371,                0.94963,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.2929,                0.80966,                0.94619,                0.95229,                0.95036,                0.96233,                0.58003,                 1.1847,                0.76665,                0.93707,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.2763,                0.80276,                0.94028,                0.96123,                0.94965,                0.96052,                0.57882,                 1.1992,                 0.7338,                0.94429,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.2672,                 0.7925,                0.94366,                0.94419,                0.94107,                0.95736,                0.58416,                 1.1698,                0.75518,                0.93361,              0.0015644,              0.0015644,              0.0015644
