                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7221,                 3.0876,                 1.4927,                0.13559,                0.62124,                0.11774,                0.05246,                 1.7923,                 2.4621,                 1.0817,             0.00066071,             0.00066071,             0.00066071
                      2,                 1.8028,                 1.5789,                 1.0926,                0.70056,                0.75868,                0.74992,                0.34677,                 1.6099,                 1.4296,                 1.0591,              0.0013011,              0.0013011,              0.0013011
                      3,                 1.6999,                 1.3778,                 1.0765,                0.81942,                0.71274,                0.78427,                0.38526,                 1.5321,                 1.2728,                  1.042,              0.0019151,              0.0019151,              0.0019151
                      4,                 1.6502,                 1.2719,                  1.052,                0.84799,                0.71327,                0.80401,                0.38723,                 1.5595,                 1.2171,                 1.0574,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5981,                 1.2505,                 1.0385,                0.78511,                 0.6992,                0.72407,                0.32302,                  1.554,                 1.2415,                 1.0476,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.5778,                 1.1902,                 1.0365,                0.77777,                0.69412,                0.78305,                0.39728,                 1.5165,                  1.156,                   1.03,               0.001802,               0.001802,               0.001802
                      7,                  1.569,                 1.1975,                  1.027,                0.90014,                0.72714,                0.83878,                  0.404,                 1.4699,                 1.1612,                 1.0202,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.545,                 1.1463,                  1.022,                0.82649,                 0.7734,                0.82223,                0.40483,                 1.4315,                 1.1568,                 1.0099,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.5245,                 1.1267,                 1.0168,                0.92601,                0.73984,                0.85736,                0.45365,                 1.3767,                 1.0723,                0.98953,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.5008,                 1.1202,                   1.01,                0.88007,                0.72234,                 0.8251,                0.42147,                 1.4163,                 1.1128,                   1.01,              0.0016436,              0.0016436,              0.0016436
